campaign_id,user_id,experience_type,status,credits_used,created_date,published_date
C00096,U0055,Prism,draft,0,25-08-2025,
C00097,U0055,Prism,published,4,01-09-2025,01-09-2025
C00098,U0056,Spatial Alpha,published,2,07-08-2025,21-08-2025
C00099,U0056,3D Experience,draft,0,27-07-2025,
C00100,U0056,Prism Extended,draft,0,26-08-2025,
C00101,U0056,Prism,draft,0,24-08-2025,
C00102,U0056,3D Spatial,draft,0,05-09-2025,
C00103,U0057,Prism,published,4,28-08-2025,24-09-2025
C00104,U0057,Spatial TV,published,1,31-08-2025,07-09-2025
C00105,U0057,Alpha Interactive,published,1,01-09-2025,03-09-2025
C00106,U0057,Spatial Alpha,draft,0,27-09-2025,
C00107,U0058,Prism,deleted,0,04-10-2025,
C00108,U0058,3D Spatial,draft,0,05-09-2025,
C00109,U0059,3D Experience,draft,0,26-09-2025,
C00110,U0059,Prism,draft,0,02-09-2025,
C00111,U0060,Prism Interactive,published,1,09-09-2025,02-10-2025
C00112,U0060,Prism Extended,draft,0,21-09-2025,
C00113,U0061,3D Experience,published,4,26-09-2025,06-10-2025
C00114,U0061,Spatial TV,draft,0,18-09-2025,
C00115,U0063,Prism Interactive,published,2,18-09-2025,18-09-2025
C00116,U0064,Spatial Interactive,draft,0,27-09-2025,
C00117,U0064,Unknown,draft,0,04-09-2025,
C00118,U0064,3D Spatial,draft,0,29-09-2025,
C00119,U0064,Spatial Alpha,draft,0,23-09-2025,
C00120,U0065,3D Experience,draft,0,03-10-2025,
C00121,U0067,3D Spatial,draft,0,05-10-2025,
C00122,U0067,Spatial Interactive,published,2,17-08-2025,22-08-2025
C00123,U0067,3D Spatial,deleted,0,04-10-2025,
C00124,U0068,3D Spatial,published,0,08-09-2025,11-09-2025
C00125,U0068,Spatial TV,published,4,24-09-2025,25-09-2025
C00126,U0068,3D Spatial,published,4,20-09-2025,04-10-2025
C00127,U0068,Spatial Interactive,published,5,03-09-2025,09-09-2025
C00128,U0069,Alpha,draft,0,03-08-2025,
C00129,U0069,Prism,draft,0,31-08-2025,
C00130,U0069,Prism Extended,published,2,06-08-2025,16-08-2025
C00131,U0071,Spatial Alpha,published,1,28-08-2025,19-09-2025
C00132,U0071,3D Experience,published,5,17-09-2025,06-10-2025
C00133,U0072,Spatial TV,draft,0,26-09-2025,
C00134,U0072,Unknown,published,1,08-09-2025,11-09-2025
C00135,U0072,Alpha,published,2,18-09-2025,25-09-2025
C00136,U0072,Alpha,draft,0,28-08-2025,
C00137,U0072,Prism Interactive,published,2,13-09-2025,05-10-2025
C00138,U0073,Prism,published,2,01-10-2025,03-10-2025
C00139,U0073,Alpha,draft,0,13-09-2025,
C00140,U0073,Prism Interactive,published,2,27-09-2025,02-10-2025
C00141,U0073,Unknown,draft,0,18-09-2025,
C00142,U0073,Spatial TV,published,3,16-09-2025,05-10-2025
C00143,U0074,Spatial Interactive,draft,0,08-09-2025,
C00144,U0074,3D Spatial,draft,0,23-08-2025,
C00145,U0075,Alpha Interactive,published,5,26-08-2025,26-08-2025
C00146,U0075,Spatial Interactive,published,3,26-08-2025,26-08-2025
C00147,U0076,Prism,draft,0,21-09-2025,
C00148,U0076,Prism Interactive,draft,0,09-08-2025,
C00149,U0077,Prism Extended,deleted,0,19-09-2025,
C00150,U0077,Spatial Alpha,draft,0,19-09-2025,
C00151,U0077,Prism Interactive,draft,0,20-09-2025,
C00152,U0077,Spatial Interactive,published,4,16-09-2025,22-09-2025
C00153,U0077,Prism,published,1,02-10-2025,04-10-2025
C00154,U0077,Prism,published,5,18-09-2025,05-10-2025
C00155,U0078,3D Experience,draft,0,28-09-2025,
C00156,U0078,Spatial Alpha,draft,0,22-09-2025,
C00157,U0078,Spatial Alpha,draft,0,12-09-2025,
C00158,U0078,Alpha Interactive,draft,0,28-08-2025,
C00159,U0079,Prism,draft,0,13-09-2025,
C00160,U0079,Alpha Interactive,deleted,0,03-10-2025,
C00161,U0079,3D Experience,published,2,01-09-2025,06-09-2025
C00162,U0079,Alpha,draft,0,10-09-2025,
C00163,U0080,Prism,draft,0,22-09-2025,
C00164,U0080,Prism Interactive,published,0,18-09-2025,24-09-2025
C00165,U0080,3D Spatial,draft,0,30-08-2025,
C00166,U0081,Spatial TV,draft,0,02-10-2025,
C00167,U0082,Prism Extended,draft,0,26-08-2025,
C00168,U0082,Spatial Alpha,draft,0,23-08-2025,
C00169,U0083,Prism,published,0,30-09-2025,05-10-2025
C00170,U0083,Alpha,draft,0,04-10-2025,
C00171,U0084,Unknown,draft,0,22-09-2025,
C00172,U0084,3D Experience,published,5,22-09-2025,06-10-2025
C00173,U0085,Spatial Interactive,published,5,04-09-2025,16-09-2025
C00174,U0086,Spatial Interactive,draft,0,08-09-2025,
C00175,U0087,3D Experience,draft,0,16-08-2025,
C00176,U0087,Spatial TV,published,2,16-09-2025,23-09-2025
C00177,U0088,Alpha,published,2,10-08-2025,11-08-2025
C00178,U0089,Prism Extended,draft,0,20-09-2025,
C00179,U0089,Spatial Interactive,deleted,0,30-09-2025,
C00180,U0090,Spatial Interactive,published,4,27-09-2025,04-10-2025
C00181,U0090,Prism Interactive,published,5,24-09-2025,26-09-2025
C00182,U0090,Prism,draft,0,21-09-2025,
C00183,U0092,Prism Extended,draft,0,11-09-2025,
C00184,U0092,Alpha,draft,0,05-09-2025,
C00185,U0093,Spatial TV,published,2,14-09-2025,22-09-2025
C00186,U0094,Alpha,published,5,02-09-2025,04-09-2025
C00187,U0094,Spatial Interactive,published,5,21-09-2025,28-09-2025
C00188,U0095,Prism Extended,published,4,25-09-2025,25-09-2025
C00189,U0095,Prism Extended,draft,0,16-09-2025,
C00190,U0095,Spatial Alpha,published,2,06-09-2025,06-09-2025
C00191,U0095,3D Spatial,deleted,0,19-09-2025,
C00192,U0096,Prism Extended,published,5,27-08-2025,28-08-2025
C00193,U0097,Prism Extended,draft,0,13-09-2025,
C00194,U0098,3D Spatial,published,1,01-09-2025,01-09-2025
C00195,U0098,Spatial Alpha,draft,0,18-09-2025,
C00196,U0098,Prism,draft,0,06-09-2025,
C00197,U0098,3D Experience,deleted,0,03-09-2025,
C00198,U0100,Spatial TV,published,3,28-08-2025,03-09-2025
C00199,U0100,Prism Interactive,deleted,0,21-09-2025,
C00200,U0102,3D Spatial,published,3,05-10-2025,05-10-2025
C00201,U0102,3D Spatial,published,5,13-09-2025,19-09-2025
C00202,U0103,Prism Extended,draft,0,23-09-2025,
C00203,U0104,Spatial Interactive,published,1,13-08-2025,17-08-2025
C00204,U0105,3D Spatial,published,4,28-09-2025,02-10-2025
C00205,U0106,Prism Interactive,published,5,03-09-2025,15-09-2025
C00206,U0106,3D Spatial,draft,0,23-07-2025,
C00207,U0106,Alpha,draft,0,05-10-2025,
C00208,U0108,Spatial Alpha,draft,0,22-09-2025,
C00209,U0108,Alpha,draft,0,23-09-2025,
C00210,U0108,Alpha,draft,0,23-09-2025,
C00211,U0108,Spatial TV,published,2,25-09-2025,01-10-2025
C00212,U0109,Prism,draft,0,13-09-2025,
C00213,U0109,Spatial TV,draft,0,21-09-2025,
C00214,U0111,Unknown,draft,0,24-09-2025,
C00215,U0111,Spatial TV,draft,0,08-09-2025,
C00216,U0111,Spatial TV,draft,0,04-10-2025,
C00217,U0112,Prism Interactive,published,4,25-08-2025,08-09-2025
C00218,U0113,Spatial TV,draft,0,01-09-2025,
C00219,U0114,Prism,published,2,15-08-2025,02-09-2025
C00220,U0116,Spatial TV,draft,0,15-09-2025,
C00221,U0117,Spatial Alpha,draft,0,23-09-2025,
C00222,U0118,Prism Interactive,draft,0,06-08-2025,
C00223,U0119,Prism Extended,published,4,17-08-2025,21-08-2025
C00224,U0120,3D Experience,published,3,09-08-2025,01-09-2025
C00225,U0120,3D Spatial,published,5,29-09-2025,02-10-2025
C00226,U0120,Prism Interactive,draft,0,13-08-2025,
C00227,U0121,Prism,draft,0,01-09-2025,
C00228,U0121,Spatial TV,deleted,0,29-09-2025,
C00229,U0121,Alpha Interactive,published,3,03-09-2025,08-09-2025
C00230,U0122,Prism,draft,0,29-09-2025,
C00231,U0123,3D Spatial,published,2,14-08-2025,22-08-2025
C00232,U0124,Prism Interactive,published,2,23-08-2025,26-08-2025
C00233,U0124,Spatial Alpha,draft,0,22-09-2025,
C00234,U0124,Alpha Interactive,draft,0,24-09-2025,
C00235,U0124,Alpha,draft,0,04-09-2025,
C00236,U0124,Spatial Alpha,deleted,0,11-09-2025,
C00237,U0125,Spatial Alpha,draft,0,04-08-2025,
C00238,U0125,3D Spatial,draft,0,04-09-2025,
C00239,U0125,Alpha Interactive,deleted,0,26-07-2025,
C00240,U0126,Spatial Interactive,draft,0,22-09-2025,
C00241,U0126,Prism,published,3,27-09-2025,03-10-2025
C00242,U0128,Spatial Interactive,draft,0,30-09-2025,
C00243,U0128,Prism Extended,draft,0,16-08-2025,
C00244,U0129,Spatial TV,published,1,19-09-2025,26-09-2025
C00245,U0129,3D Spatial,draft,0,31-08-2025,
C00246,U0130,Alpha,published,2,03-09-2025,29-09-2025
C00247,U0130,Prism,draft,0,04-09-2025,
C00248,U0131,Prism,published,0,13-09-2025,16-09-2025
C00249,U0134,3D Spatial,draft,0,18-09-2025,
C00250,U0134,Prism Interactive,published,2,04-10-2025,05-10-2025
C00251,U0135,Spatial Interactive,draft,0,10-09-2025,
C00252,U0136,3D Spatial,draft,0,30-07-2025,
C00253,U0136,3D Spatial,draft,0,31-07-2025,
C00254,U0137,3D Spatial,published,5,10-08-2025,11-08-2025
C00255,U0137,Spatial Interactive,draft,0,23-08-2025,
C00256,U0139,Spatial Alpha,draft,0,29-08-2025,
C00257,U0140,Spatial Alpha,published,2,27-08-2025,25-09-2025
C00258,U0141,Spatial Alpha,published,4,19-09-2025,25-09-2025
C00259,U0141,3D Spatial,published,5,20-08-2025,16-09-2025
C00260,U0141,Alpha,published,1,11-08-2025,28-08-2025
C00261,U0142,3D Spatial,published,4,02-09-2025,03-09-2025
C00262,U0143,Prism Extended,draft,0,28-09-2025,
C00263,U0143,3D Experience,published,5,09-09-2025,10-09-2025
C00264,U0144,Spatial TV,published,1,16-09-2025,21-09-2025
C00265,U0145,Unknown,draft,0,17-09-2025,
C00266,U0145,Spatial Alpha,draft,0,03-10-2025,
C00267,U0145,Alpha,draft,0,30-09-2025,
C00268,U0146,Spatial TV,published,3,27-09-2025,05-10-2025
C00269,U0146,3D Spatial,draft,0,26-09-2025,
C00270,U0149,3D Experience,published,4,01-10-2025,05-10-2025
C00271,U0150,Prism Interactive,published,1,18-07-2025,11-08-2025
C00272,U0151,3D Spatial,published,2,10-09-2025,15-09-2025
C00273,U0152,Alpha Interactive,deleted,0,28-09-2025,
C00274,U0152,3D Spatial,draft,0,21-09-2025,
C00275,U0152,Prism,published,3,09-09-2025,10-09-2025
C00276,U0153,Spatial TV,draft,0,18-09-2025,
C00277,U0153,Alpha,published,2,16-09-2025,26-09-2025
C00278,U0155,Prism,published,5,05-08-2025,06-08-2025
C00279,U0155,Prism Extended,draft,0,24-08-2025,
C00280,U0155,Spatial TV,deleted,0,03-10-2025,
C00281,U0155,Prism Interactive,deleted,0,09-09-2025,
C00282,U0156,Prism Interactive,draft,0,08-09-2025,
C00283,U0157,Spatial Interactive,published,2,26-09-2025,03-10-2025
C00284,U0157,3D Spatial,published,4,30-08-2025,03-09-2025
C00285,U0157,3D Experience,deleted,0,30-09-2025,
C00286,U0157,Prism,published,3,28-09-2025,05-10-2025
C00287,U0158,Prism Extended,draft,0,15-09-2025,
C00288,U0159,Alpha Interactive,draft,0,04-09-2025,
C00289,U0159,3D Spatial,published,1,09-08-2025,14-08-2025
C00290,U0159,Spatial Interactive,draft,0,17-09-2025,
C00291,U0160,Alpha,published,5,13-08-2025,18-08-2025
C00292,U0160,Spatial Alpha,draft,0,23-09-2025,
C00293,U0161,Alpha Interactive,deleted,0,29-08-2025,
C00294,U0161,3D Experience,published,5,01-10-2025,01-10-2025
C00295,U0161,Spatial TV,published,4,02-10-2025,04-10-2025
C00296,U0162,Prism Extended,draft,0,26-08-2025,
C00297,U0162,3D Experience,draft,0,17-09-2025,
C00298,U0162,Prism,draft,0,09-09-2025,
C00299,U0163,Spatial Alpha,draft,0,26-08-2025,
C00300,U0163,Prism,published,0,26-09-2025,04-10-2025
C00301,U0163,Prism Interactive,published,2,14-08-2025,27-08-2025
C00302,U0164,Alpha,published,5,12-09-2025,12-09-2025
C00303,U0164,Spatial Interactive,draft,0,25-09-2025,
C00304,U0165,Spatial TV,draft,0,17-09-2025,
C00305,U0166,3D Spatial,published,3,25-09-2025,27-09-2025
C00306,U0167,Spatial Interactive,deleted,0,01-09-2025,
C00307,U0167,Alpha Interactive,draft,0,26-08-2025,
C00308,U0167,Spatial Interactive,deleted,0,31-08-2025,
C00309,U0167,3D Experience,draft,0,27-08-2025,
C00310,U0167,3D Experience,deleted,0,05-09-2025,
C00311,U0167,Prism Interactive,draft,0,26-08-2025,
C00312,U0168,Unknown,draft,0,04-10-2025,
C00313,U0169,3D Spatial,draft,0,24-08-2025,
C00314,U0169,Prism Extended,draft,0,01-10-2025,
C00315,U0170,Prism Extended,draft,0,04-09-2025,
C00316,U0170,Spatial Alpha,draft,0,29-09-2025,
C00317,U0171,Spatial Interactive,draft,0,02-09-2025,
C00318,U0172,3D Spatial,published,3,20-09-2025,21-09-2025
C00319,U0172,Prism Extended,published,2,12-09-2025,13-09-2025
C00320,U0173,Alpha,deleted,0,09-09-2025,
C00321,U0173,Prism,published,1,14-09-2025,21-09-2025
C00322,U0173,Spatial Alpha,draft,0,04-08-2025,
C00323,U0173,Alpha Interactive,draft,0,09-08-2025,
C00324,U0175,Alpha,draft,0,19-09-2025,
C00325,U0175,Spatial Alpha,draft,0,14-09-2025,
C00326,U0176,Spatial Interactive,published,5,03-09-2025,09-09-2025
C00327,U0177,Spatial TV,deleted,0,16-09-2025,
C00328,U0177,Alpha,published,5,05-09-2025,30-09-2025
C00329,U0178,Spatial TV,published,5,02-08-2025,03-08-2025
C00330,U0179,Prism Extended,draft,0,26-09-2025,
C00331,U0179,Prism,deleted,0,27-09-2025,
C00332,U0179,Spatial Alpha,published,5,12-09-2025,15-09-2025
C00333,U0179,Alpha,draft,0,16-09-2025,
C00334,U0180,Prism Extended,draft,0,28-09-2025,
C00335,U0181,Alpha Interactive,published,0,16-09-2025,18-09-2025
C00336,U0182,Prism Extended,draft,0,02-10-2025,
C00337,U0182,Alpha,published,1,23-08-2025,24-08-2025
C00338,U0183,Spatial Alpha,published,2,23-07-2025,04-08-2025
C00339,U0183,Prism Extended,draft,0,20-09-2025,
C00340,U0184,Spatial TV,published,2,29-09-2025,06-10-2025
C00341,U0184,Prism Extended,draft,0,05-09-2025,
C00342,U0185,Spatial Alpha,published,3,23-08-2025,29-08-2025
C00343,U0186,Prism Extended,draft,0,02-10-2025,
C00344,U0186,Prism,draft,0,08-08-2025,
C00345,U0186,Spatial Interactive,draft,0,22-08-2025,
C00346,U0187,Unknown,published,5,21-09-2025,29-09-2025
C00347,U0190,Alpha,draft,0,17-09-2025,
C00348,U0190,Spatial Interactive,draft,0,14-08-2025,
C00349,U0190,Alpha Interactive,draft,0,18-09-2025,
C00350,U0190,Alpha Interactive,published,3,27-09-2025,29-09-2025
C00351,U0191,Spatial Alpha,deleted,0,13-08-2025,
C00352,U0191,Prism Interactive,draft,0,31-07-2025,
C00353,U0191,3D Experience,published,4,16-08-2025,02-09-2025
C00354,U0191,Spatial Alpha,draft,0,01-09-2025,
C00355,U0192,3D Spatial,published,1,10-08-2025,26-08-2025
C00356,U0192,Prism Interactive,deleted,0,09-09-2025,
C00357,U0192,Spatial Interactive,draft,0,08-09-2025,
C00358,U0192,Prism Interactive,published,1,18-07-2025,22-07-2025
C00359,U0192,Alpha Interactive,published,5,25-08-2025,18-09-2025
C00360,U0193,Prism Extended,draft,0,10-09-2025,
C00361,U0195,Alpha Interactive,draft,0,12-09-2025,
C00362,U0195,Spatial Interactive,published,5,14-09-2025,14-09-2025
C00363,U0196,Spatial Interactive,published,2,12-09-2025,27-09-2025
C00364,U0196,Alpha,published,5,18-08-2025,23-08-2025
C00365,U0197,Spatial Interactive,draft,0,03-10-2025,
C00366,U0198,Spatial TV,published,5,02-09-2025,04-09-2025
C00367,U0200,Alpha,published,4,15-09-2025,19-09-2025
C00368,U0202,Prism Extended,draft,0,05-09-2025,
C00369,U0203,3D Spatial,published,3,04-09-2025,09-09-2025
C00370,U0203,Alpha,draft,0,03-08-2025,
C00371,U0203,Spatial Interactive,published,3,05-09-2025,06-09-2025
C00372,U0204,Prism Interactive,draft,0,25-08-2025,
C00373,U0206,Spatial Alpha,published,3,09-09-2025,15-09-2025
C00374,U0207,Spatial Alpha,deleted,0,07-09-2025,
C00375,U0208,Alpha Interactive,draft,0,18-09-2025,
C00376,U0212,3D Spatial,published,3,28-09-2025,03-10-2025
C00377,U0213,Alpha Interactive,draft,0,04-10-2025,
C00378,U0214,Prism Extended,draft,0,21-09-2025,
C00379,U0215,Prism Extended,draft,0,06-09-2025,
C00380,U0215,Prism Interactive,draft,0,23-07-2025,
C00381,U0215,Spatial Alpha,published,3,09-09-2025,14-09-2025
C00382,U0216,Prism,draft,0,12-08-2025,
C00383,U0217,3D Experience,published,1,16-08-2025,20-08-2025
C00384,U0217,Prism Extended,draft,0,26-08-2025,
C00385,U0218,Spatial TV,draft,0,23-09-2025,
C00386,U0218,Spatial TV,deleted,0,23-09-2025,
C00387,U0220,Prism Extended,draft,0,10-09-2025,
C00388,U0220,Prism Extended,draft,0,23-08-2025,
C00389,U0220,3D Experience,published,5,18-09-2025,22-09-2025
C00390,U0221,Alpha Interactive,draft,0,09-09-2025,
C00391,U0222,Alpha,published,4,19-09-2025,04-10-2025
C00392,U0223,Spatial Alpha,published,2,17-08-2025,04-09-2025
C00393,U0223,Prism,draft,0,22-08-2025,
C00394,U0224,3D Experience,published,3,11-08-2025,01-09-2025
C00395,U0224,Spatial TV,draft,0,20-08-2025,
C00396,U0225,Spatial Alpha,published,1,17-08-2025,31-08-2025
C00397,U0226,Unknown,published,2,22-09-2025,26-09-2025
C00398,U0226,3D Spatial,draft,0,29-09-2025,
C00399,U0226,3D Spatial,published,5,16-09-2025,20-09-2025
C00400,U0227,Prism,published,1,12-08-2025,12-08-2025
C00401,U0228,Prism Interactive,draft,0,20-09-2025,
C00402,U0228,3D Spatial,draft,0,18-08-2025,
C00403,U0228,Spatial Alpha,draft,0,14-09-2025,
C00404,U0229,Prism Extended,draft,0,25-08-2025,
C00405,U0230,Prism,published,1,21-08-2025,25-08-2025
C00406,U0231,Spatial TV,published,5,16-07-2025,19-07-2025
C00407,U0231,Unknown,deleted,0,11-09-2025,
C00408,U0233,Prism Extended,published,1,07-08-2025,08-08-2025
C00409,U0233,Alpha Interactive,draft,0,11-08-2025,
C00410,U0233,Spatial TV,published,2,29-08-2025,29-08-2025
C00411,U0234,3D Experience,published,4,12-09-2025,05-10-2025
C00412,U0234,Spatial TV,draft,0,05-10-2025,
C00413,U0235,Alpha,published,1,27-07-2025,29-07-2025
C00414,U0236,Spatial Alpha,published,1,15-09-2025,03-10-2025
C00415,U0237,Alpha,draft,0,18-08-2025,
C00416,U0237,3D Spatial,published,2,03-09-2025,26-09-2025
C00417,U0238,Prism Interactive,draft,0,04-08-2025,
C00418,U0239,Spatial Alpha,draft,0,01-09-2025,
C00419,U0240,Spatial Alpha,draft,0,21-09-2025,
C00420,U0241,3D Spatial,draft,0,22-09-2025,
C00421,U0242,Spatial Interactive,published,2,10-09-2025,10-09-2025
C00422,U0243,3D Spatial,draft,0,30-09-2025,
C00423,U0243,3D Experience,draft,0,16-09-2025,
C00424,U0243,Prism Interactive,published,1,19-09-2025,24-09-2025
C00425,U0244,3D Experience,draft,0,29-09-2025,
C00426,U0245,Spatial TV,published,0,11-09-2025,17-09-2025
C00427,U0247,3D Spatial,published,0,07-09-2025,25-09-2025
C00428,U0248,Prism,draft,0,27-09-2025,
C00429,U0250,Spatial TV,published,2,08-08-2025,17-08-2025
C00430,U0250,Prism Interactive,published,1,02-09-2025,08-09-2025
