user_id,signup_date,country,device,referral_code
U0130,04-08-2025,UK,Android,No
U0131,07-09-2025,UK,Android,No
U0132,22-08-2025,India,Android,No
U0133,14-08-2025,India,Android,No
U0134,12-09-2025,India,Android,No
U0135,18-08-2025,India,Web,
U0136,19-07-2025,India,Web,No
U0137,10-08-2025,India,Android,Yes
U0138,16-07-2025,Germany,Android,Yes
U0139,22-07-2025,UK,Android,Yes
U0140,18-08-2025,UK,Android,Yes
U0141,07-08-2025,UAE,iOS,No
U0142,27-08-2025,Brazil,Android,No
U0143,06-08-2025,USA,Android,No
U0144,15-07-2025,India,Android,
U0145,09-08-2025,USA,Android,No
U0146,15-09-2025,Brazil,Android,Yes
U0147,13-09-2025,,Android,No
U0148,29-08-2025,USA,Web,No
U0149,04-08-2025,India,Android,No
U0150,18-07-2025,UK,Android,No
U0151,25-08-2025,India,iOS,Yes
U0152,07-09-2025,Brazil,Android,No
U0153,05-09-2025,India,iOS,Yes
U0154,19-07-2025,Germany,iOS,Yes
U0155,01-08-2025,UK,Android,Yes
U0156,08-09-2025,India,,No
U0157,30-08-2025,India,Android,No
U0158,23-07-2025,India,Android,No
U0159,09-08-2025,Germany,Android,No
U0160,03-08-2025,India,Web,
U0161,26-08-2025,India,Android,No
U0162,25-07-2025,UAE,iOS,No
U0163,04-08-2025,Germany,Android,No
U0164,10-08-2025,UAE,Android,No
U0165,08-09-2025,India,iOS,No
U0166,02-09-2025,USA,Android,No
U0167,22-08-2025,Brazil,Android,No
U0168,11-09-2025,India,Android,Yes
U0169,26-07-2025,,Android,No
U0170,04-09-2025,India,Web,No
U0171,02-08-2025,India,Android,No
U0172,09-09-2025,India,Android,No
U0173,30-07-2025,USA,iOS,Yes
U0174,14-09-2025,UAE,Web,Yes
U0175,09-09-2025,,iOS,No
U0176,04-08-2025,UAE,Android,No
U0177,30-08-2025,USA,Web,No
U0178,20-07-2025,UK,Android,No
U0179,08-09-2025,UAE,Android,No
U0180,08-09-2025,India,iOS,Yes
U0181,05-09-2025,UAE,Android,No
U0182,20-07-2025,Germany,Android,Yes
U0183,18-07-2025,Germany,iOS,Yes
U0184,24-08-2025,India,Android,No
U0185,16-08-2025,Brazil,Android,Yes
U0186,04-08-2025,Germany,,No
U0187,09-09-2025,UAE,Android,No
U0188,13-09-2025,Germany,iOS,No
U0189,26-08-2025,Brazil,Android,No
U0190,08-08-2025,Germany,Android,Yes
U0191,31-07-2025,Germany,Android,No
U0192,15-07-2025,USA,Android,No
U0193,27-08-2025,India,Web,Yes
U0194,17-07-2025,India,Android,No
U0195,07-09-2025,,iOS,No
U0196,05-08-2025,USA,Android,No
U0197,24-08-2025,USA,Android,No
U0198,29-08-2025,India,Android,Yes
U0199,08-09-2025,Germany,Android,No
U0200,23-08-2025,India,Web,No
U0201,26-08-2025,UAE,Android,
U0202,04-08-2025,UAE,iOS,No
U0203,01-08-2025,USA,iOS,No
U0204,25-08-2025,UAE,Android,Yes
U0205,25-08-2025,India,iOS,Yes
U0206,08-09-2025,USA,Android,No
U0207,22-07-2025,India,,No
U0208,26-08-2025,India,Android,Yes
U0209,15-07-2025,UK,Android,No
U0210,21-07-2025,India,Android,Yes
U0211,01-09-2025,India,Android,No
U0212,02-09-2025,India,Android,No
U0213,28-08-2025,UAE,iOS,Yes
U0214,15-09-2025,India,Android,Yes
U0215,22-07-2025,UK,iOS,No
U0216,29-07-2025,India,Android,No
U0217,20-07-2025,Germany,iOS,Yes
U0218,12-09-2025,UK,iOS,Yes
U0219,25-07-2025,India,Android,No
U0220,04-08-2025,UK,Web,Yes
U0221,17-07-2025,India,iOS,No
U0222,12-09-2025,India,Android,Yes
U0223,08-08-2025,India,Web,Yes
U0224,05-08-2025,USA,Android,Yes
U0225,23-07-2025,USA,Web,No
U0226,11-09-2025,India,Web,Yes
U0227,02-08-2025,India,iOS,Yes
U0228,13-08-2025,USA,iOS,No
U0229,10-08-2025,India,Android,Yes
U0230,29-07-2025,UK,Android,No
U0231,15-07-2025,India,Android,No
U0232,01-09-2025,India,Android,Yes
U0233,19-07-2025,India,Android,No
U0234,27-08-2025,India,iOS,
U0235,15-07-2025,Germany,iOS,No
U0236,23-07-2025,UK,Android,No
U0237,21-07-2025,Brazil,Android,No
U0238,26-07-2025,India,Android,Yes
U0239,24-08-2025,India,Android,No
U0240,04-09-2025,USA,Android,
U0241,23-07-2025,India,iOS,No
U0242,08-09-2025,Germany,Android,Yes
U0243,30-08-2025,India,Android,No
U0244,05-09-2025,Brazil,iOS,
U0245,10-08-2025,India,Android,
U0246,05-09-2025,India,Web,No
U0247,21-07-2025,UAE,Android,Yes
U0248,08-09-2025,India,Android,No
U0249,30-08-2025,UK,Android,Yes
U0250,07-08-2025,UAE,iOS,No
